"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"111",715,"Anthony Hitchens","LB","Iowa",2014,"DAL",4,119,"HitcAn00",90,37,6.577777778,72.375,240,NA,4.74,23,31.5,115,4.45,7.15,NA,NA
"112",718,"Clint Ingram","LB","Oklahoma",2006,"JAX",3,80,"IngrCl20",56,23,6.571428571,73.75,244,NA,4.65,22,41,NA,4.1,7.12,NA,NA
"113",719,"Denzel Perryman","LB","Miami (FL)",2015,"SD",2,48,"PerrDe00",56,23,6.571428571,70.75,236,17,4.78,27,32,113,NA,NA,NA,NA
"114",726,"Ian Gold","LB","Michigan",2000,"DEN",2,40,"GoldIa00",115,47,6.539130435,73.1,221,NA,4.58,21,33,115,4.19,6.97,NA,NA
"115",729,"Pisa Tinoisamoa","LB","Hawaii",2003,"STL",2,43,"TinoPi20",98,40,6.530612245,72.4,231,NA,4.69,19,34.5,111,4.07,6.95,NA,NA
"116",731,"Trent Murphy","LB",NA,2014,"WAS",2,47,"MurpTr00",76,31,6.526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",736,"Will Witherspoon","LB","Georgia",2002,"CAR",3,73,"WithWi20",189,77,6.518518519,73.5,231,NA,4.63,25,38,120,4.21,7.09,NA,NA
"118",737,"Kiko Alonso","LB","Oregon",2013,"BUF",2,46,"AlonKi00",86,35,6.511627907,75.375,238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",767,"Shaq Thompson","LB","Washington",2015,"CAR",1,25,"ThomSh01",70,28,6.4,72.125,228,NA,4.64,NA,33.5,117,4.08,6.99,NA,NA
"120",769,"Thomas Howard","LB","Texas-El Paso",2006,"OAK",2,38,"HowaTh20",95,38,6.4,75.25,239,NA,4.46,21,39,124,4.28,6.96,NA,NA
"121",775,"Akin Ayodele","LB","Purdue",2002,"JAX",3,89,"AyodAk20",143,57,6.377622378,74.1,257,NA,4.86,26,35,119,4.12,7,NA,NA
"122",781,"David Thornton","LB","North Carolina",2002,"IND",4,106,"ThorDa20",121,48,6.347107438,73.9,236,NA,4.66,26,35.5,116,4.09,6.93,NA,NA
"123",782,"Barrett Ruud","LB","Nebraska",2005,"TB",2,36,"RuudBa20",116,46,6.344827586,74.5,241,NA,4.76,25,34.5,108,3.94,7.22,NA,NA
"124",800,"Kirk Morrison","LB","San Diego State",2005,"OAK",3,78,"MorrKi20",112,44,6.285714286,73,235,NA,4.69,25,NA,NA,4.31,NA,NA,NA
"125",810,"Jayon Brown","LB",NA,2017,"TEN",5,155,"BrowJa06",46,18,6.260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",818,"Anthony Walker","LB","Northwestern",2017,"IND",5,161,"WalkAn01",41,16,6.243902439,72.625,238,NA,4.65,23,30.5,115,NA,NA,NA,NA
"127",823,"Ed Hartwell","LB",NA,2001,"BAL",4,126,"HartEd20",77,30,6.233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",824,"Michael Boley","LB","Southern Mississippi",2005,"ATL",5,160,"BoleMi20",131,51,6.229007634,74.75,236,NA,4.62,NA,34,110,4.12,7.08,NA,NA
"129",826,"Donald Butler","LB","Washington",2010,"SD",3,79,"ButlDo99",85,33,6.211764706,73.125,245,NA,4.62,35,NA,NA,NA,NA,NA,NA
