"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"318",2637,"Isaiah McKenzie","WR","Georgia",2017,"DEN",5,172,"McKeIs00",34,4,1.882352941,67.25,173,NA,4.42,11,36,123,4.15,6.64,NA,NA
"319",2638,"Jason McAddley","WR","Alabama",2002,"ARI",5,149,"McAdJa00",34,4,1.882352941,73.5,203,NA,4.5,NA,36.5,120,4.09,6.83,NA,NA
"320",2642,"Tavarres King","WR","Georgia",2013,"DEN",5,161,"KingTa00",17,2,1.882352941,72.25,189,NA,4.47,11,36.5,123,4.33,6.91,NA,NA
"321",2655,"Damion Ratley","WR","Texas A&M",2018,"CLE",6,175,"RatlDa00",26,3,1.846153846,73.75,196,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",2668,"Deon Butler","WR","Penn State",2009,"SEA",3,91,"ButlDe00",35,4,1.828571429,70.375,182,NA,4.31,12,34.5,118,4.48,7.01,NA,NA
"323",2670,"Tandon Doss","WR","Indiana",2011,"BAL",4,123,"DossTa00",35,4,1.828571429,74,201,NA,4.56,14,NA,NA,NA,NA,NA,NA
"324",2677,"Laquon Treadwell","WR","Mississippi",2016,"MIN",1,23,"TreaLa00",53,6,1.811320755,74,221,NA,NA,12,33,117,NA,NA,NA,NA
"325",2684,"Ace Sanders","WR","South Carolina",2013,"JAX",4,101,"SandAc00",27,3,1.777777778,67,173,NA,4.58,7,32,117,4.37,6.81,NA,NA
"326",2694,"Chad Jackson","WR","Florida",2006,"NE",2,36,"JackCh00",18,2,1.777777778,72.88,213,15,4.35,NA,38.5,122,3.97,6.73,NA,NA
"327",2699,"Devin Smith","WR","Ohio State",2015,"NYJ",2,37,"SmitDe04",18,2,1.777777778,72.375,196,NA,4.42,10,39,122,4.15,NA,NA,NA
"328",2718,"Marcell Ateman","WR","Oklahoma State",2018,"OAK",7,228,"AtemMa00",18,2,1.777777778,76.5,216,NA,4.62,13,34,121,4.25,7.07,NA,NA
"329",2722,"Rashard Higgins","WR","Colorado State",2016,"CLE",5,172,"HiggRa00",54,6,1.777777778,73.375,196,NA,4.64,13,32,116,NA,NA,NA,NA
"330",2728,"Windrell Hayes","WR","Southern California",2000,"NYJ",5,143,"HayeWi00",9,1,1.777777778,71,204,NA,4.5,NA,NA,NA,4.18,7.33,NA,NA
"331",2743,"Sinorice Moss","WR","Miami (FL)",2006,"NYG",2,44,"MossSi00",37,4,1.72972973,68,185,NA,4.4,NA,NA,NA,NA,NA,NA,NA
"332",2745,"Corey Fuller","WR","Virginia Tech",2013,"DET",6,171,"FullCo00",28,3,1.714285714,74.25,204,NA,4.43,12,31.5,120,NA,NA,NA,NA
"333",2746,"David Clowney","WR","Virginia Tech",2007,"GB",5,157,"ClowDa00",28,3,1.714285714,72.25,188,NA,4.39,NA,32.5,123,4.15,7,NA,NA
"334",2747,"David Kircus","WR",NA,2003,"DET",6,175,"KircDa00",28,3,1.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",2781,"Billy McMullen","WR",NA,2003,"PHI",3,95,"McMuBi00",49,5,1.632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
